word,category,alternates
that's how you do it,key phrases,that's how you do it on survivor
fire represents your life,key phrases,fire represents life
come on in guys,key phrases,
pick it up,key phrases,you need to pick it up
love,challenges,"loved ones, love from home"
guys,challenges,
advantage,game play,
alliance,game play,
auction,challenges,
banana,food/drink,bananas
beach,camp life,
beer,food/drink,
beware,game play,
bite,conditions,"bit, bites"
blindside,game play,
boat,tools,canoe
boil,tools,
bug,creatures,bugs
champagne,food/drink,
chicken,food/drink,rooster
chores,camp life,work
coconut,food/drink,coconuts
cold,conditions,
crocodile,creatures,"crocs, croc"
dirt,conditions,dirty
dive,challenges,dove
egg,food/drink,eggs
elephant,creatures,elephants
exile,game play,exiled
fault,game play,
feast,food/drink,"barbecue, bbq"
fire,tools,
firewood,tools,
fish,food/drink,fishing
flag,camp life,
flint,tools,
goat,game play,
gut,game play,
heat,conditions,
honest,game play,
hot,conditions,
idol,game play,"hidden immunity idol, the idol, an idol"
immunity,challenges,immune
insect,creatures,insect
jungle,camp life,
knife,tools,
lake,camp life,
lazy,camp life,laziness
lie,game play,lying
machete,tools,
matches,tools,
merge,game play,merger
monkey,creatures,monkeys
naked,camp life,nude
neck and neck,challenges,tight
ocean,camp life,
paddle,tools,
pig,food/drink,pigs
pot,tools,
puzzle,challenges,puzzles
rain,conditions,
responsibility,game play,
reward,challenges,rewards
safe,game play,safety
sand,conditions,sandy
shark,creatures,sharks
shelter,camp life,
snake,creatures,snakes
snail,food/drink,snails
spear,tools,
spider,creatures,spiders
stress,game play,stressful
swim,challenges,"swam, swimming"
threat,game play,threats
tribal,game play,tribal council
tribe,game play,
truth,game play,
vote,game play,voted
water,food/drink,
wine,food/drink,
yacht,challenges,
